id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
EasyGet5,15.0,40,14,1,0,4
Ryanair7,27.0,40,9,2,10,0
Ryanair7,26.0,40,9,2,9,0
Ryanair7,25.0,40,11,2,8,0
Ryanair7,24.0,40,11,2,7,0
Ryanair7,23.0,40,10,2,6,0
Ryanair7,22.0,40,10,2,5,0
Ryanair7,21.0,40,13,2,4,0
Ryanair7,20.0,40,14,2,3,0
Ryanair7,19.0,40,14,2,2,0
Ryanair7,18.0,40,16,2,1,0
Ryanair7,17.0,40,17,2,0,0
AmericanAirlines6,25.0,40,10,1,10,0
AmericanAirlines6,24.0,40,9,1,9,0
AmericanAirlines6,23.0,40,11,1,8,0
AmericanAirlines6,22.0,40,11,1,7,0
AmericanAirlines6,21.0,40,10,1,6,0
AmericanAirlines6,20.0,40,12,1,5,0
AmericanAirlines6,19.0,40,14,1,4,0
AmericanAirlines6,18.0,40,14,1,3,0
AmericanAirlines6,17.0,40,15,1,2,0
AmericanAirlines6,16.0,40,16,1,1,0
AmericanAirlines6,15.0,40,17,1,0,0
AirAsia8,17.0,40,9,4,10,0
AirAsia8,16.0,40,11,4,9,0
AirAsia8,15.0,40,11,4,8,0
AirAsia8,14.0,40,10,4,7,0
AirAsia8,13.0,40,12,4,6,0
AirAsia8,12.0,40,14,4,5,0
AirAsia8,11.0,40,14,4,4,0
AirAsia8,10.0,40,15,4,3,0
AirAsia8,9.0,40,16,4,2,0
AirAsia8,8.0,40,17,4,1,0
AirAsia8,7.0,40,15,4,0,0
SingapureAirlines7,17.0,40,10,4,10,2
SingapureAirlines7,16.0,40,11,4,9,2
SingapureAirlines7,15.0,40,12,4,8,2
SingapureAirlines7,14.0,40,10,4,7,2
SingapureAirlines7,13.0,40,12,4,6,2
SingapureAirlines7,12.0,40,14,4,5,2
SingapureAirlines7,11.0,40,14,4,4,2
SingapureAirlines7,10.0,40,15,4,3,2
SingapureAirlines7,9.0,40,16,4,2,2
SingapureAirlines7,8.0,40,17,4,1,2
SingapureAirlines7,7.0,40,15,4,0,2
SingapureAirlines7,6.0,40,15,4,0,2
SingapureAirlines7,5.0,40,17,4,0,2
